time,action,pnl
2026-04-19T23:18:57.474863,open,0.0
2026-04-19T23:18:57.474878,close,25.0
2026-04-19T23:19:00.206280,open,0.0
2026-04-19T23:19:00.206304,close,25.0
2026-04-19T23:19:06.953243,open,0.0
2026-04-19T23:19:06.953266,close,25.0
2026-04-19T23:19:10.150785,open,0.0
2026-04-19T23:19:10.150808,close,25.0
2026-04-19T23:19:16.629158,open,0.0
2026-04-19T23:19:16.629175,close,25.0
2026-04-19T23:19:22.337617,open,0.0
2026-04-19T23:19:22.337641,close,25.0
2026-04-19T23:19:25.200612,open,0.0
2026-04-19T23:19:25.200633,close,-25.0
2026-04-19T23:19:37.246754,open,0.0
2026-04-19T23:19:37.246765,close,25.0
2026-04-19T23:19:42.827173,open,0.0
2026-04-19T23:19:42.827195,close,25.0
2026-04-19T23:19:45.561496,open,0.0
2026-04-19T23:19:45.561507,close,25.0
2026-04-19T23:19:47.852870,open,0.0
2026-04-19T23:19:47.852895,close,25.0
2026-04-19T23:19:53.546330,open,0.0
2026-04-19T23:19:53.546354,close,25.0
2026-04-19T23:19:56.218906,open,0.0
2026-04-19T23:19:56.218927,close,25.0
2026-04-19T23:19:59.030331,open,0.0
2026-04-19T23:19:59.030364,close,25.0
2026-04-19T23:20:05.429621,open,0.0
2026-04-19T23:20:05.429643,close,25.0
2026-04-19T23:20:08.581967,open,0.0
2026-04-19T23:20:08.581978,close,25.0
2026-04-19T23:20:10.938611,open,0.0
2026-04-19T23:20:10.938627,close,25.0
2026-04-19T23:20:16.507791,open,0.0
2026-04-19T23:20:16.507815,close,25.0
2026-04-19T23:20:24.014621,open,0.0
2026-04-19T23:20:24.014644,close,25.0
2026-04-19T23:20:26.968848,open,0.0
2026-04-19T23:20:26.968872,close,25.0
2026-04-19T23:20:37.856266,open,0.0
2026-04-19T23:20:37.856289,close,25.0
2026-04-19T23:20:45.920131,open,0.0
2026-04-19T23:20:45.920142,close,25.0
2026-04-19T23:20:49.857617,open,0.0
2026-04-19T23:20:49.857638,close,25.0
2026-04-19T23:20:52.243954,open,0.0
2026-04-19T23:20:52.243977,close,25.0
2026-04-19T23:20:57.815621,open,0.0
2026-04-19T23:20:57.815632,close,25.0
2026-04-19T23:21:00.830026,open,0.0
2026-04-19T23:21:00.830037,close,25.0
2026-04-19T23:21:03.693431,open,0.0
2026-04-19T23:21:03.693444,close,25.0
2026-04-19T23:21:06.296991,open,0.0
2026-04-19T23:21:06.297016,close,25.0
2026-04-19T23:21:15.927574,open,0.0
2026-04-19T23:21:15.927586,close,25.0
2026-04-19T23:21:30.578192,open,0.0
2026-04-19T23:21:30.578213,close,25.0
2026-04-19T23:21:33.933575,open,0.0
2026-04-19T23:21:33.933586,close,25.0
2026-04-19T23:21:39.851039,open,0.0
2026-04-19T23:21:39.851057,close,25.0
2026-04-19T23:21:52.394775,open,0.0
2026-04-19T23:21:52.394801,close,25.0
2026-04-19T23:21:56.288113,open,0.0
2026-04-19T23:21:56.288135,close,25.0
2026-04-19T23:21:58.739392,open,0.0
2026-04-19T23:21:58.739415,close,25.0
2026-04-19T23:22:06.588552,open,0.0
2026-04-19T23:22:06.588573,close,25.0
2026-04-19T23:22:09.774158,open,0.0
2026-04-19T23:22:09.774175,close,25.0
2026-04-19T23:22:12.384255,open,0.0
2026-04-19T23:22:12.384279,close,25.0
2026-04-19T23:22:15.000344,open,0.0
2026-04-19T23:22:15.000368,close,25.0
2026-04-19T23:22:17.629550,open,0.0
2026-04-19T23:22:17.629575,close,25.0
2026-04-19T23:22:30.801701,open,0.0
2026-04-19T23:22:30.801728,close,25.0
2026-04-19T23:22:37.508158,open,0.0
2026-04-19T23:22:37.508179,close,25.0
2026-04-19T23:22:39.923594,open,0.0
2026-04-19T23:22:39.923605,close,25.0
2026-04-19T23:23:08.544710,open,0.0
2026-04-19T23:23:08.544732,close,25.0
2026-04-19T23:23:13.661717,open,0.0
2026-04-19T23:23:13.661737,close,25.0
2026-04-19T23:23:21.856178,open,0.0
2026-04-19T23:23:21.856202,close,25.0
2026-04-19T23:23:41.073496,open,0.0
2026-04-19T23:23:41.073520,close,25.0
2026-04-19T23:23:43.790977,open,0.0
2026-04-19T23:23:43.790988,close,25.0
2026-04-19T23:23:46.476271,open,0.0
2026-04-19T23:23:46.476281,close,25.0
2026-04-19T23:23:57.266594,open,0.0
2026-04-19T23:23:57.266617,close,25.0
2026-04-19T23:24:00.070844,open,0.0
2026-04-19T23:24:00.070868,close,25.0
2026-04-19T23:24:03.674497,open,0.0
2026-04-19T23:24:03.674509,close,25.0
2026-04-19T23:24:11.792603,open,0.0
2026-04-19T23:24:11.792626,close,25.0
2026-04-19T23:24:27.308042,open,0.0
2026-04-19T23:24:27.308065,close,25.0
2026-04-19T23:24:38.679261,open,0.0
2026-04-19T23:24:38.679289,close,25.0
2026-04-19T23:24:48.191022,open,0.0
2026-04-19T23:24:48.191033,close,25.0
2026-04-19T23:24:53.215732,open,0.0
2026-04-19T23:24:53.215755,close,25.0
2026-04-19T23:25:00.203672,open,0.0
2026-04-19T23:25:00.203692,close,25.0
2026-04-19T23:25:03.300708,open,0.0
2026-04-19T23:25:03.300734,close,25.0
2026-04-19T23:25:05.948983,open,0.0
2026-04-19T23:25:05.948994,close,25.0
2026-04-19T23:25:17.365802,open,0.0
2026-04-19T23:25:17.365814,close,25.0
2026-04-19T23:25:33.744814,open,0.0
2026-04-19T23:25:33.744826,close,25.0
2026-04-19T23:25:36.245797,open,0.0
2026-04-19T23:25:36.245808,close,-25.0
2026-04-19T23:25:42.368773,open,0.0
2026-04-19T23:25:42.368792,close,25.0
2026-04-19T23:25:48.649813,open,0.0
2026-04-19T23:25:48.649839,close,-25.0
2026-04-19T23:26:01.194322,open,0.0
2026-04-19T23:26:01.194340,close,25.0
2026-04-19T23:26:07.424748,open,0.0
2026-04-19T23:26:07.424774,close,25.0
2026-04-19T23:26:10.170875,open,0.0
2026-04-19T23:26:10.170897,close,25.0
2026-04-19T23:26:16.077407,open,0.0
2026-04-19T23:26:16.077418,close,25.0
2026-04-19T23:26:35.630030,open,0.0
2026-04-19T23:26:35.630050,close,25.0
2026-04-19T23:26:47.352775,open,0.0
2026-04-19T23:26:47.352795,close,25.0
2026-04-19T23:26:53.320137,open,0.0
2026-04-19T23:26:53.320147,close,25.0
2026-04-19T23:26:56.041902,open,0.0
2026-04-19T23:26:56.041914,close,25.0
2026-04-19T23:27:24.049320,open,0.0
2026-04-19T23:27:24.049344,close,25.0
2026-04-19T23:27:26.809254,open,0.0
2026-04-19T23:27:26.809278,close,25.0
2026-04-19T23:27:32.246063,open,0.0
2026-04-19T23:27:32.246085,close,25.0
2026-04-19T23:27:34.326578,open,0.0
2026-04-19T23:27:34.326599,close,25.0
2026-04-19T23:27:37.198065,open,0.0
2026-04-19T23:27:37.198087,close,25.0
2026-04-19T23:27:54.849901,open,0.0
2026-04-19T23:27:54.849927,close,25.0
2026-04-19T23:27:57.287570,open,0.0
2026-04-19T23:27:57.287593,close,25.0
2026-04-19T23:28:02.250056,open,0.0
2026-04-19T23:28:02.250079,close,25.0
2026-04-19T23:28:05.969781,open,0.0
2026-04-19T23:28:05.969804,close,25.0
2026-04-19T23:28:09.169604,open,0.0
2026-04-19T23:28:09.169626,close,25.0
2026-04-19T23:28:15.984559,open,0.0
2026-04-19T23:28:15.984584,close,25.0
2026-04-19T23:28:19.545021,open,0.0
2026-04-19T23:28:19.545047,close,-25.0
2026-04-19T23:28:31.912700,open,0.0
2026-04-19T23:28:31.912718,close,25.0
2026-04-19T23:28:34.608375,open,0.0
2026-04-19T23:28:34.608387,close,25.0
2026-04-19T23:28:37.210120,open,0.0
2026-04-19T23:28:37.210143,close,25.0
2026-04-19T23:28:45.325630,open,0.0
2026-04-19T23:28:45.325651,close,25.0
2026-04-19T23:28:57.165869,open,0.0
2026-04-19T23:28:57.165879,close,25.0
2026-04-19T23:29:00.341826,open,0.0
2026-04-19T23:29:00.341851,close,25.0
2026-04-19T23:29:12.654195,open,0.0
2026-04-19T23:29:12.654207,close,25.0
2026-04-19T23:29:20.621312,open,0.0
2026-04-19T23:29:20.621330,close,25.0
2026-04-19T23:29:34.123893,open,0.0
2026-04-19T23:29:34.123912,close,25.0
2026-04-19T23:29:53.165764,open,0.0
2026-04-19T23:29:53.165784,close,25.0
2026-04-19T23:30:11.309346,open,0.0
2026-04-19T23:30:11.309357,close,25.0
2026-04-19T23:30:16.964717,open,0.0
2026-04-19T23:30:16.964738,close,25.0
2026-04-19T23:30:21.700019,open,0.0
2026-04-19T23:30:21.700043,close,25.0
2026-04-19T23:30:37.882262,open,0.0
2026-04-19T23:30:37.882314,close,25.0
2026-04-19T23:30:50.153876,open,0.0
2026-04-19T23:30:50.153896,close,25.0
2026-04-19T23:31:02.987326,open,0.0
2026-04-19T23:31:02.987350,close,25.0
2026-04-19T23:31:50.998574,open,0.0
2026-04-19T23:31:50.998598,close,25.0
2026-04-19T23:31:59.557898,open,0.0
2026-04-19T23:31:59.557918,close,25.0
2026-04-19T23:32:02.672832,open,0.0
2026-04-19T23:32:02.672844,close,25.0
2026-04-19T23:32:07.974337,open,0.0
2026-04-19T23:32:07.974359,close,25.0
2026-04-19T23:32:14.216575,open,0.0
2026-04-19T23:32:14.216598,close,25.0
2026-04-19T23:32:25.429283,open,0.0
2026-04-19T23:32:25.429309,close,25.0
2026-04-19T23:32:34.216353,open,0.0
2026-04-19T23:32:34.216378,close,25.0
